Application_ID,Plot_Area,Zone_Type,FSI_Allowed,FSI_Used,Floors,Building_Height,Front_Setback,Rear_Setback,Side_Setback,Parking_Spaces_Required,Parking_Spaces_Provided,Road_Width,Fire_NOC,Env_NOC,Traffic_NOC,Green_Area_Percentage,Zone_Compliance,Approval_Status,Rejection_Reasons
APP000047,1463,Industrial,2.8,2.17,15,47.85,4.7,6.45,3.75,8,13,16.74,1,1,1,20.52,1,1,None
APP000048,1578,Residential,1.0,0.98,10,27.61,5.24,4.69,3.84,16,11,12.21,1,0,1,27.86,1,0,"ParkingDeficit, MissingNOC"
APP000049,2656,Mixed-use,1.8,1.73,15,10.05,7.62,4.77,5.58,22,32,16.71,1,1,1,38.98,1,1,None
APP000050,875,Industrial,3.0,3.52,13,39.02,3.25,7.0,5.51,26,30,10.88,1,1,1,12.97,1,0,FSIExceeded
APP000051,4114,Residential,2.0,1.94,15,35.64,2.88,2.76,1.75,49,57,23.05,0,1,1,2.97,1,0,"SetbackDeficit, MissingNOC"
APP000052,134,Commercial,2.2,2.08,2,57.45,4.07,4.6,3.18,39,49,27.81,1,1,1,17.21,1,1,None
APP000053,3252,Commercial,1.5,1.21,13,13.92,7.93,4.06,5.35,38,48,6.06,1,1,1,21.63,1,1,None
APP000054,2055,Industrial,2.0,2.0,12,41.09,5.12,6.83,5.99,17,25,19.35,1,1,1,23.2,1,1,None
APP000055,1685,Residential,1.0,1.24,4,31.07,6.59,3.62,3.89,2,8,23.58,1,1,1,29.54,1,0,FSIExceeded
APP000056,4043,Commercial,2.8,2.34,12,25.84,2.36,2.31,2.61,48,55,27.77,1,1,1,35.92,1,0,SetbackDeficit
APP000057,3173,Residential,2.2,1.97,15,48.7,5.92,5.01,5.56,38,46,14.6,1,1,1,20.01,1,1,None
APP000058,1121,Mixed-use,1.2,0.96,13,49.59,7.8,3.32,3.56,46,51,27.77,1,1,0,5.74,1,0,MissingNOC
APP000059,3561,Residential,1.8,1.66,2,44.3,6.38,3.94,3.36,15,13,25.81,1,1,1,16.14,1,0,ParkingDeficit
APP000060,2713,Residential,1.8,1.96,20,9.6,1.87,2.39,2.42,35,35,18.61,1,1,1,6.21,1,0,"FSIExceeded, SetbackDeficit"
APP000061,3943,Commercial,3.0,2.92,16,23.98,5.92,5.09,5.8,3,9,12.17,1,1,1,7.29,1,1,None
APP000062,1600,Industrial,3.0,2.36,14,7.57,6.58,3.95,4.19,32,28,21.67,1,1,1,0.07,0,0,"ParkingDeficit, ZoningViolation"
APP000063,4898,Commercial,2.0,2.19,2,23.9,4.5,4.26,5.26,20,24,12.25,1,1,1,37.19,1,0,FSIExceeded
APP000064,261,Residential,1.5,1.42,17,40.64,5.29,6.99,5.99,20,26,14.37,1,1,0,29.81,1,0,MissingNOC
APP000065,4397,Residential,1.0,0.94,16,33.53,4.07,4.06,5.8,45,47,17.21,1,1,1,4.01,1,1,None
APP000066,2081,Mixed-use,2.2,1.84,4,43.66,2.81,2.05,1.74,24,33,17.95,1,1,1,36.8,1,0,SetbackDeficit
APP000067,1095,Commercial,2.8,2.23,11,35.33,6.52,5.45,5.96,31,27,10.54,1,1,1,34.81,1,0,ParkingDeficit
APP000068,3442,Industrial,1.0,0.9,13,35.57,3.04,6.27,3.9,18,21,22.65,1,0,1,36.4,1,0,MissingNOC
APP000069,4651,Residential,1.0,0.94,6,33.1,7.69,3.54,3.35,3,8,29.81,1,1,1,3.89,1,1,None
APP000070,3898,Residential,2.5,1.83,17,25.04,5.77,4.09,4.81,12,10,11.85,1,1,1,3.2,1,0,ParkingDeficit
APP000071,1375,Commercial,2.5,2.81,1,29.56,4.02,5.54,3.79,15,24,19.31,1,1,1,2.71,1,0,FSIExceeded
APP000072,1116,Industrial,1.2,1.19,9,11.18,7.53,6.38,3.28,42,52,16.91,1,1,1,38.68,1,1,None
APP000073,437,Residential,1.5,1.15,18,50.9,4.38,3.01,5.31,30,30,13.39,1,1,1,26.42,1,1,None
APP000074,978,Industrial,1.2,1.5,11,53.91,4.31,5.96,4.66,20,16,16.07,1,1,1,7.12,1,0,"FSIExceeded, ParkingDeficit"
APP000075,1176,Residential,2.2,1.61,14,47.14,3.05,3.3,5.65,29,36,23.59,0,1,0,37.17,1,0,MissingNOC
APP000076,4987,Residential,2.8,2.56,2,37.1,2.31,2.74,2.37,2,12,15.95,1,1,1,17.73,1,0,SetbackDeficit
APP000077,4093,Residential,2.8,2.45,20,36.3,3.64,4.23,5.7,6,11,18.16,1,1,1,31.42,1,1,None
APP000078,4959,Residential,1.0,0.78,11,30.87,7.3,6.6,3.63,35,41,17.45,1,1,1,25.45,1,1,None
APP000079,479,Residential,3.0,2.14,2,17.72,3.51,6.12,5.65,15,19,19.33,1,1,1,25.99,1,1,None
APP000080,592,Residential,2.8,2.22,4,26.11,6.1,3.62,5.79,20,26,12.99,0,1,1,17.59,1,0,MissingNOC
APP000081,2162,Residential,3.0,2.15,13,59.44,2.95,2.71,2.81,25,32,18.23,1,1,1,15.8,1,0,SetbackDeficit
APP000082,3984,Industrial,3.0,2.82,6,13.02,6.68,4.33,5.79,41,47,9.24,0,1,1,6.48,1,0,MissingNOC
APP000083,164,Residential,2.2,1.6,7,34.85,7.32,6.24,3.8,18,20,23.79,1,1,1,2.83,1,1,None
APP000084,2668,Residential,1.5,1.33,20,52.66,3.54,6.49,5.58,3,4,8.66,1,1,1,37.12,1,1,None
APP000085,2127,Residential,1.0,1.15,3,29.92,7.08,4.84,3.92,32,28,24.84,1,1,1,37.46,1,0,"FSIExceeded, ParkingDeficit"
APP000086,2795,Residential,2.8,2.04,4,38.31,4.14,3.09,3.58,18,22,25.81,1,1,1,25.65,1,1,None
APP000087,1595,Commercial,1.5,1.79,20,50.53,7.32,6.87,3.84,9,8,6.46,1,1,1,15.52,1,0,"FSIExceeded, ParkingDeficit"
APP000088,491,Residential,2.5,2.48,3,35.12,5.0,6.92,4.61,47,52,25.94,1,1,1,1.0,1,1,None
APP000089,4614,Commercial,2.2,2.06,1,45.23,1.67,2.95,1.77,18,20,21.56,1,1,1,17.91,1,0,SetbackDeficit
APP000090,4574,Commercial,1.5,1.07,19,24.1,1.9,1.66,2.15,39,43,8.33,1,0,1,26.36,1,0,"SetbackDeficit, MissingNOC"
APP000091,3661,Residential,2.2,2.1,13,45.32,4.57,5.42,4.53,27,28,29.95,1,1,1,12.01,0,0,ZoningViolation
APP000092,2378,Residential,1.5,1.36,14,7.26,5.88,4.02,5.13,44,48,20.77,1,1,1,13.7,1,1,None
APP000093,3199,Residential,3.0,2.84,16,13.41,7.63,5.15,5.16,41,43,15.62,1,1,1,18.89,1,1,None
APP000094,300,Residential,1.0,0.97,4,40.05,6.35,4.46,3.21,46,50,27.25,1,1,1,19.8,1,1,None
APP000095,4975,Commercial,2.8,3.07,17,29.69,4.65,4.26,5.54,41,51,7.0,1,0,1,29.71,1,0,"FSIExceeded, MissingNOC"
APP000096,3204,Commercial,2.0,1.94,10,50.56,4.5,4.24,4.23,8,17,23.22,1,1,1,19.99,1,1,None
APP000097,4698,Residential,1.8,1.65,7,23.81,4.48,3.51,4.26,25,30,9.45,1,1,1,33.81,1,1,None
APP000098,2554,Residential,1.0,0.84,13,47.2,2.51,2.85,2.42,31,29,19.26,1,0,1,19.31,1,0,"SetbackDeficit, ParkingDeficit, MissingNOC"
APP000099,3745,Residential,3.0,2.24,13,12.65,5.74,3.0,3.86,27,28,8.3,1,1,1,1.28,1,1,None
APP000100,904,Commercial,3.0,2.25,14,56.16,5.9,5.62,4.39,31,27,22.3,1,1,1,5.66,1,0,ParkingDeficit
APP000101,2831,Residential,2.0,1.93,6,28.01,4.07,4.89,5.7,36,46,17.16,1,1,1,28.73,1,1,None
APP000102,2873,Residential,3.0,2.6,16,17.7,3.85,3.34,4.55,3,10,6.16,1,1,1,18.07,1,1,None
APP000103,1670,Residential,3.0,2.77,9,48.4,4.68,6.27,5.25,45,41,7.71,1,1,1,18.45,1,0,ParkingDeficit
APP000104,2790,Commercial,2.5,2.01,20,57.13,4.12,3.8,3.07,5,6,22.87,1,1,0,39.12,1,0,MissingNOC
APP000105,3940,Industrial,2.8,2.8,16,55.49,5.38,6.4,3.22,6,12,15.59,0,1,1,22.86,1,0,MissingNOC
APP000106,1128,Residential,1.0,0.89,12,18.09,6.15,3.78,5.09,49,44,22.13,1,1,1,4.68,1,0,ParkingDeficit
APP000107,602,Residential,1.8,1.64,16,41.96,4.22,5.62,3.02,3,6,15.36,1,1,0,17.35,1,0,MissingNOC
APP000108,4593,Mixed-use,1.8,1.64,5,35.08,6.85,3.43,4.28,32,42,14.68,1,1,1,22.45,1,1,None
APP000109,970,Residential,3.0,2.26,11,44.88,7.79,5.07,3.15,28,33,26.52,1,1,1,1.5,1,1,None
APP000110,4588,Commercial,1.5,1.52,1,31.78,7.24,4.83,5.4,25,33,26.52,1,1,1,14.58,1,0,FSIExceeded
APP000111,306,Residential,1.0,0.73,10,30.84,7.94,5.38,5.85,46,56,28.07,1,1,1,38.71,1,1,None
APP000112,1584,Commercial,2.0,1.87,11,53.55,2.41,2.57,2.25,5,11,25.75,1,1,1,30.05,1,0,SetbackDeficit
APP000113,963,Residential,2.5,2.58,15,52.92,5.74,6.59,5.23,29,31,9.06,1,1,1,14.89,1,0,FSIExceeded
APP000114,2890,Mixed-use,1.8,1.56,3,48.32,4.3,3.99,4.91,6,15,7.6,1,1,1,10.48,1,1,None
APP000115,663,Commercial,3.0,2.8,15,43.77,5.61,5.51,3.82,28,37,7.4,1,1,1,11.33,1,1,None
APP000116,4291,Commercial,2.2,1.94,11,42.31,4.43,4.09,3.96,45,54,29.52,1,1,1,33.14,1,1,None
APP000117,1857,Commercial,2.2,1.85,9,8.09,3.69,3.93,5.08,48,48,18.03,1,0,0,16.07,1,0,MissingNOC
APP000118,1778,Commercial,1.5,1.48,2,46.22,3.32,4.63,4.63,6,6,8.76,1,1,1,33.73,1,1,None
APP000119,3342,Residential,2.0,1.75,12,40.1,4.03,4.68,5.71,6,5,19.06,0,1,1,36.35,1,0,"ParkingDeficit, MissingNOC"
APP000120,4736,Industrial,2.2,2.77,20,21.63,6.48,6.43,5.3,49,54,23.05,1,1,1,18.57,1,0,FSIExceeded
APP000121,1159,Mixed-use,1.8,1.91,16,50.11,3.03,4.41,5.26,10,13,8.27,1,1,1,37.81,1,0,FSIExceeded
APP000122,1822,Residential,1.5,1.32,16,50.78,2.92,2.12,2.61,48,58,14.31,1,1,1,12.0,1,0,SetbackDeficit
APP000123,3414,Mixed-use,2.0,1.41,1,56.27,6.02,3.88,3.66,28,32,10.51,1,1,1,10.4,1,1,None
APP000124,3257,Commercial,2.5,3.11,16,28.01,3.15,4.34,5.04,5,9,29.41,0,1,1,4.29,1,0,"FSIExceeded, MissingNOC"
APP000125,2725,Residential,2.2,1.71,6,35.32,3.83,4.87,3.38,25,26,13.64,1,1,1,9.83,1,1,None
APP000126,2829,Residential,1.2,0.89,14,54.83,3.13,4.58,4.69,28,23,22.57,1,0,1,30.91,1,0,"ParkingDeficit, MissingNOC"
APP000127,1697,Residential,1.0,0.98,11,22.42,6.21,3.54,4.39,2,12,28.04,1,1,1,16.15,1,1,None
APP000128,3160,Residential,2.0,1.86,1,48.82,4.9,3.85,3.98,33,43,26.72,1,1,1,5.93,0,0,ZoningViolation
APP000129,2793,Residential,2.0,1.6,20,59.56,4.9,6.01,5.5,17,17,15.46,1,1,1,4.28,1,1,None
APP000130,4991,Residential,2.2,1.99,17,40.86,3.41,3.08,4.62,24,29,13.46,1,1,1,19.61,1,1,None
APP000131,3727,Residential,1.5,1.13,19,59.1,2.02,2.47,2.66,29,34,25.42,1,1,1,21.57,1,0,SetbackDeficit
APP000132,1463,Residential,1.0,0.92,2,33.37,6.77,6.8,3.6,21,27,10.92,1,1,1,31.78,1,1,None
APP000133,2081,Mixed-use,1.8,1.4,14,13.42,3.76,3.5,5.01,18,18,23.22,1,1,1,28.59,1,1,None
APP000134,1763,Residential,1.8,1.4,8,14.66,4.09,5.8,5.3,37,45,26.05,1,1,1,6.68,1,1,None
APP000135,1629,Residential,1.2,0.87,6,45.23,6.04,5.99,3.34,46,54,26.38,0,1,1,11.08,1,0,MissingNOC
APP000136,2138,Residential,2.8,1.96,9,5.05,7.82,3.43,3.08,9,9,6.21,1,0,1,27.75,1,0,MissingNOC
APP000137,3402,Residential,2.2,1.97,5,41.4,6.39,6.83,4.19,19,29,18.0,1,1,1,7.22,1,1,None
APP000138,2337,Commercial,1.5,1.23,5,13.32,3.38,5.76,4.88,14,18,14.58,1,1,1,32.13,1,1,None
APP000139,1406,Commercial,1.0,0.73,18,59.14,6.86,6.4,4.8,10,9,29.49,1,1,1,26.29,0,0,"ParkingDeficit, ZoningViolation"
APP000140,4129,Commercial,1.5,1.89,14,13.97,7.92,6.13,4.04,38,45,19.06,1,1,1,21.45,1,0,FSIExceeded
APP000141,2775,Residential,2.8,2.48,12,35.39,4.85,5.02,4.02,31,35,16.26,1,1,1,25.77,1,1,None
APP000142,1382,Commercial,1.8,1.46,12,41.82,7.11,3.42,5.88,44,44,11.86,1,1,1,3.99,1,1,None
APP000143,809,Residential,1.5,1.49,6,50.07,7.14,5.83,4.31,29,38,26.3,1,1,1,21.92,1,1,None
APP000144,4844,Residential,1.8,1.76,4,30.26,7.83,4.08,5.42,47,54,13.66,1,1,1,18.05,1,1,None
APP000145,4513,Residential,1.8,1.27,15,56.36,5.42,4.74,5.19,19,22,25.84,1,1,1,20.52,1,1,None
APP000146,3848,Residential,1.2,1.06,15,31.41,7.26,6.32,3.26,21,30,27.4,1,1,1,13.51,0,0,ZoningViolation
APP000147,4879,Residential,1.8,1.51,17,18.86,1.86,2.19,2.41,49,56,7.4,1,1,1,18.73,1,0,SetbackDeficit
APP000148,763,Residential,3.0,3.74,3,37.62,3.14,6.4,3.55,37,40,18.24,1,1,0,35.33,1,0,"FSIExceeded, MissingNOC"
APP000149,2098,Mixed-use,1.8,1.79,10,41.19,6.99,4.36,5.64,20,24,16.09,1,1,1,13.79,1,1,None
APP000150,3545,Residential,1.0,0.78,8,32.91,4.38,3.04,5.84,6,10,15.43,1,1,1,1.8,1,1,None
APP000151,3843,Residential,1.0,0.74,9,45.33,6.6,4.95,5.27,35,40,14.92,1,1,1,10.26,1,1,None
APP000152,1595,Residential,1.0,0.87,3,28.14,6.23,4.96,5.38,18,26,18.77,1,1,1,18.17,1,1,None
APP000153,3404,Commercial,2.0,1.69,1,5.24,4.11,5.77,3.92,29,28,9.12,1,1,1,21.34,1,0,ParkingDeficit
APP000154,3863,Residential,2.2,1.83,11,19.55,5.37,5.12,4.28,37,44,26.91,1,1,1,17.09,1,1,None
APP000155,1953,Industrial,2.2,2.32,13,57.02,4.65,5.81,3.81,39,35,19.39,0,1,1,33.06,1,0,"FSIExceeded, ParkingDeficit, MissingNOC"
APP000156,4759,Mixed-use,2.2,1.67,12,46.98,3.6,3.77,3.36,31,32,14.33,1,0,1,36.61,1,0,MissingNOC
APP000157,1391,Residential,3.0,2.12,7,15.42,6.81,3.74,3.65,19,28,11.83,1,1,1,19.47,1,1,None
APP000158,3681,Residential,1.0,0.78,2,8.67,6.62,6.91,4.57,7,13,20.8,1,1,1,3.04,1,1,None
APP000159,3557,Residential,2.2,2.05,1,24.29,3.5,3.78,3.68,27,31,24.88,1,1,0,16.84,1,0,MissingNOC
APP000160,1736,Commercial,2.8,2.0,20,51.0,3.07,5.14,3.82,16,26,16.58,1,1,1,7.25,1,1,None
APP000161,3796,Residential,2.8,3.46,3,10.83,2.32,2.54,1.69,2,10,29.63,0,0,1,11.34,1,0,"FSIExceeded, SetbackDeficit, MissingNOC"
APP000162,3099,Residential,1.5,1.45,4,34.88,2.23,2.8,2.36,18,22,18.85,1,1,1,33.32,1,0,SetbackDeficit
APP000163,3252,Residential,2.0,1.91,17,20.13,5.2,3.74,3.15,32,42,29.49,1,1,1,21.41,1,1,None
APP000164,798,Commercial,1.8,1.54,18,44.94,2.21,2.72,2.1,3,6,29.1,1,1,1,33.14,1,0,SetbackDeficit
APP000165,2260,Residential,1.0,0.92,17,5.02,6.15,3.21,3.45,37,37,20.39,1,1,0,39.43,1,0,MissingNOC
APP000166,4197,Residential,3.0,2.77,19,20.24,4.52,6.98,3.36,36,38,19.95,1,1,1,21.81,1,1,None
APP000167,4837,Commercial,2.0,1.92,4,42.36,6.03,6.16,3.68,28,29,8.54,1,1,1,36.49,1,1,None
APP000168,954,Commercial,1.2,0.85,17,35.07,5.25,4.77,5.58,4,11,28.3,1,1,1,27.34,1,1,None
APP000169,3574,Industrial,1.2,1.11,2,47.84,1.96,2.43,2.41,47,53,25.28,0,1,1,4.07,1,0,"SetbackDeficit, MissingNOC"
APP000170,1807,Residential,2.5,2.02,10,13.67,7.74,3.83,3.63,21,22,18.01,1,1,1,16.72,1,1,None
APP000171,2877,Commercial,1.8,1.51,12,34.2,3.79,3.7,3.23,9,5,13.35,1,1,1,26.36,1,0,ParkingDeficit
APP000172,1833,Commercial,1.0,0.71,13,15.77,5.25,5.38,3.87,30,33,26.13,1,1,1,28.21,1,1,None
APP000173,3610,Residential,2.0,1.61,11,40.16,6.53,5.81,4.36,9,8,13.0,1,1,1,34.43,1,0,ParkingDeficit
APP000174,302,Commercial,1.2,1.08,8,12.22,7.62,6.15,4.88,42,48,19.0,1,1,1,25.49,1,1,None
APP000175,3355,Residential,2.5,2.32,20,13.18,7.67,4.7,4.63,28,31,10.77,1,1,1,3.6,1,1,None
APP000176,4318,Mixed-use,3.0,3.6,5,23.05,7.54,6.31,3.21,27,37,25.31,1,0,1,5.7,1,0,"FSIExceeded, MissingNOC"
APP000177,4596,Residential,1.0,1.3,2,27.1,4.54,6.0,4.71,40,40,24.07,1,0,1,13.13,1,0,"FSIExceeded, MissingNOC"
APP000178,866,Commercial,1.2,0.85,12,32.42,3.62,5.75,5.1,11,21,13.0,1,1,1,11.76,1,1,None
APP000179,4489,Residential,2.2,1.67,2,36.94,2.25,2.24,1.62,31,26,8.82,1,1,1,8.86,1,0,"SetbackDeficit, ParkingDeficit"
APP000180,2427,Mixed-use,2.8,2.75,6,30.78,5.16,4.29,3.75,34,34,10.25,0,1,1,24.69,1,0,MissingNOC
APP000181,3031,Residential,2.5,2.49,19,7.51,7.81,6.34,4.73,37,40,20.79,1,1,1,17.19,1,1,None
APP000182,297,Mixed-use,3.0,2.37,12,23.89,2.99,2.5,1.9,21,22,9.6,1,1,1,27.4,1,0,SetbackDeficit
APP000183,2030,Mixed-use,1.2,1.17,13,8.38,6.78,4.88,4.95,5,3,13.68,1,1,1,15.48,1,0,ParkingDeficit
APP000184,3682,Residential,3.0,2.95,17,11.49,1.77,2.37,2.45,24,26,26.14,1,0,1,10.96,1,0,"SetbackDeficit, MissingNOC"
APP000185,708,Industrial,1.8,1.44,12,10.11,3.46,4.39,4.0,30,35,7.96,1,1,1,22.02,1,1,None
APP000186,3372,Mixed-use,1.5,1.36,3,13.7,7.29,4.32,5.08,47,48,19.95,1,1,1,3.87,1,1,None
APP000187,1247,Residential,2.5,2.26,8,49.71,7.73,6.25,4.65,33,30,15.6,1,1,1,39.55,1,0,ParkingDeficit
APP000188,4382,Residential,2.0,1.69,16,39.52,4.57,4.29,5.91,38,41,8.89,1,1,1,26.23,1,1,None
APP000189,3497,Residential,2.0,1.66,4,32.87,5.57,6.95,4.97,38,45,18.23,1,1,1,4.89,1,1,None
APP000190,2611,Residential,1.2,1.03,13,45.27,5.07,3.75,4.09,27,29,18.4,1,1,1,24.9,1,1,None
APP000191,1894,Residential,2.2,1.56,8,57.87,6.13,6.04,3.61,6,11,15.07,0,1,1,2.98,1,0,MissingNOC
APP000192,759,Residential,2.2,2.84,1,27.97,7.64,4.75,5.09,25,34,7.33,1,1,1,20.25,1,0,FSIExceeded
APP000193,2911,Residential,1.8,1.53,3,25.21,7.87,5.44,3.72,44,45,10.96,0,1,1,11.63,1,0,MissingNOC
APP000194,1469,Residential,2.0,1.75,1,58.78,5.75,5.21,3.28,3,11,15.71,1,1,1,28.03,1,1,None
APP000195,2086,Residential,2.5,1.81,15,47.42,2.86,2.19,1.68,16,22,12.65,1,1,1,19.48,1,0,SetbackDeficit
APP000196,246,Industrial,2.8,2.09,18,47.74,5.49,5.87,4.53,47,55,9.85,1,1,1,31.43,1,1,None
APP000197,3319,Commercial,2.2,1.69,20,38.0,7.17,6.92,3.73,47,49,17.69,0,0,1,9.19,1,0,MissingNOC
APP000198,3011,Residential,2.0,1.77,3,32.89,4.92,6.69,4.52,41,51,15.54,1,0,1,26.25,1,0,MissingNOC
APP000199,1834,Commercial,1.5,1.66,15,35.28,2.79,1.91,2.68,9,9,21.96,1,0,1,27.51,1,0,"FSIExceeded, SetbackDeficit, MissingNOC"
APP000200,1943,Commercial,2.5,2.02,5,40.86,7.67,5.03,5.46,38,42,19.45,1,1,1,19.1,1,1,None
APP000201,588,Mixed-use,2.8,2.5,10,25.73,4.49,5.35,6.0,38,42,10.07,1,1,1,34.33,1,1,None
APP000202,3076,Residential,1.5,1.23,7,48.03,3.74,5.15,4.04,15,20,22.5,1,1,1,5.87,1,1,None
